2 C F0 93 59 1000
4 C F1 53 91 1000
6 C F2 54 43 1000
8 C F3 57 96 1000
10 C F4 32 83 1000
12 C F5 63 49 1000
14 C F6 4 66 1000
16 C F7 62 22 1000
18 C F8 93 17 1000
20 C F9 93 4 1000
22 C F10 36 91 1000
24 C F11 69 46 1000
26 C F12 88 56 1000
28 C F13 12 24 1000
30 C F14 62 28 1000
32 C F15 73 32 1000
34 C F16 77 96 1000
36 C F17 47 32 1000
38 C F18 78 71 1000
40 C F19 81 37 1000
42 C F20 27 85 1000
44 C F21 46 14 1000
46 C F22 30 28 1000
48 C F23 1 93 1000
50 C F24 7 10 1000
52 C F25 30 3 1000
54 C F26 32 52 1000
56 C F27 79 32 1000
58 C F28 38 71 1000
60 C F29 30 41 1000
3386 C A1692 62 17 1000 500
3388 C A1693 63 17 1000 500
3390 C A1694 64 16 1000 500
3392 C A1695 65 15 1000 500
3394 C A1696 66 15 1000 500
3396 C A1697 67 17 1000 500
3398 C A1698 68 17 1000 500
3400 C A1699 69 17 1000 500
3402 C A1700 70 16 1000 500
3404 C A1701 71 17 1000 500
3406 C A1702 72 17 1000 500
3408 C A1703 73 16 1000 500
3410 C A1704 74 17 1000 500
3412 C A1705 75 16 1000 500
3414 C A1706 76 17 1000 500
3416 C A1707 77 16 1000 500
3418 C A1708 78 17 1000 500
3420 C A1709 79 16 1000 500
3422 C A1710 80 16 1000 500
3424 C A1711 81 16 1000 500
3426 C A1712 82 16 1000 500
3428 C A1713 83 15 1000 500
3430 C A1714 84 17 1000 500
3432 C A1715 85 16 1000 500
3434 C A1716 86 17 1000 500
3436 C A1717 87 16 1000 500
3438 C A1718 88 16 1000 500
3440 C A1719 89 17 1000 500
3442 C A1720 90 17 1000 500
3444 C A1721 91 16 1000 500
3446 C A1722 92 16 1000 500
3448 C A1723 93 17 1000 500
3450 C A1724 94 16 1000 500
3452 C A1725 95 17 1000 500
3454 C A1726 96 11 1000 500
3456 C A1727 97 16 1000 500
3458 C A1728 98 16 1000 500
3460 C A1729 99 16 1000 500
3462 C A1730 0 13 1000 500
3464 C A1731 1 16 1000 500
3466 C A1732 2 18 1000 500
3468 C A1733 3 17 1000 500
3470 C A1734 4 15 1000 500
3472 C A1735 5 19 1000 500
3474 C A1736 6 19 1000 500
3476 C A1737 7 21 1000 500
3478 C A1738 8 21 1000 500
3480 C A1739 9 20 1000 500
3482 C A1740 10 19 1000 500
3484 C A1741 11 18 1000 500
3486 C A1742 12 19 1000 500
3488 C A1743 13 19 1000 500
3490 C A1744 14 19 1000 500
3492 C A1745 15 19 1000 500
3494 C A1746 16 19 1000 500
3496 C A1747 17 19 1000 500
3498 C A1748 18 16 1000 500
3500 C A1749 19 18 1000 500
3502 C A1750 20 18 1000 500
3504 C A1751 21 17 1000 500
3506 C A1752 22 18 1000 500
3508 C A1753 23 18 1000 500
3510 C A1754 24 18 1000 500
3512 C A1755 25 17 1000 500
3514 C A1756 26 18 1000 500
3516 C A1757 27 18 1000 500
3518 C A1758 28 18 1000 500
3520 C A1759 29 18 1000 500
3522 C A1760 30 18 1000 500
3524 C A1761 31 18 1000 500
3526 C A1762 32 17 1000 500
3528 C A1763 33 18 1000 500
3530 C A1764 34 17 1000 500
3532 C A1765 35 18 1000 500
3534 C A1766 36 17 1000 500
3536 C A1767 37 14 1000 500
3538 C A1768 38 17 1000 500
3540 C A1769 39 17 1000 500
3542 C A1770 40 18 1000 500
3544 C A1771 41 18 1000 500
3546 C A1772 42 17 1000 500
3548 C A1773 43 18 1000 500
3550 C A1774 44 18 1000 500
3552 C A1775 45 17 1000 500
3554 C A1776 46 17 1000 500
3556 C A1777 47 18 1000 500
3558 C A1778 48 17 1000 500
3560 C A1779 49 18 1000 500
3562 C A1780 50 17 1000 500
3564 C A1781 51 18 1000 500
3566 C A1782 52 17 1000 500
3568 C A1783 53 18 1000 500
3570 C A1784 54 18 1000 500
3572 C A1785 55 17 1000 500
3574 C A1786 56 16 1000 500
3576 C A1787 57 17 1000 500
3578 C A1788 58 18 1000 500
3580 C A1789 59 18 1000 500
3582 C A1790 60 18 1000 500
3584 C A1791 61 17 1000 500
3586 C A1792 62 18 1000 500
3588 C A1793 63 18 1000 500
3590 C A1794 64 17 1000 500
3592 C A1795 65 16 1000 500
3594 C A1796 66 16 1000 500
3596 C A1797 67 18 1000 500
3598 C A1798 68 18 1000 500
3600 C A1799 69 18 1000 500
3602 C A1800 70 17 1000 500
3604 C A1801 71 18 1000 500
3606 C A1802 72 18 1000 500
3608 C A1803 73 17 1000 500
3610 C A1804 74 18 1000 500
3612 C A1805 75 17 1000 500
3614 C A1806 76 18 1000 500
3616 C A1807 77 17 1000 500
3618 C A1808 78 18 1000 500
3620 C A1809 79 17 1000 500
3622 C A1810 80 17 1000 500
3624 C A1811 81 17 1000 500
3626 C A1812 82 17 1000 500
3628 C A1813 83 16 1000 500
3630 C A1814 84 18 1000 500
3632 C A1815 85 17 1000 500
3634 C A1816 86 18 1000 500
3636 C A1817 87 17 1000 500
3638 C A1818 88 17 1000 500
3640 C A1819 89 18 1000 500
3642 C A1820 90 18 1000 500
3644 C A1821 91 17 1000 500
3646 C A1822 92 17 1000 500
3648 C A1823 93 18 1000 500
3650 C A1824 94 17 1000 500
3652 C A1825 95 18 1000 500
3654 C A1826 96 12 1000 500
3656 C A1827 97 17 1000 500
3658 C A1828 98 17 1000 500
3660 C A1829 99 17 1000 500
3662 C A1830 0 16 1000 500
3664 C A1831 1 17 1000 500
3666 C A1832 2 19 1000 500
3668 C A1833 3 19 1000 500
3670 C A1834 4 19 1000 500
3672 C A1835 5 20 1000 500
3674 C A1836 6 20 1000 500
3676 C A1837 7 22 1000 500
3678 C A1838 8 22 1000 500
3680 C A1839 9 21 1000 500
3682 C A1840 10 20 1000 500
3684 C A1841 11 19 1000 500
3686 C A1842 12 20 1000 500
3688 C A1843 13 20 1000 500
3690 C A1844 14 20 1000 500
3692 C A1845 15 20 1000 500
3694 C A1846 16 20 1000 500
3696 C A1847 17 21 1000 500
3698 C A1848 18 17 1000 500
3700 C A1849 19 20 1000 500
3702 C A1850 20 19 1000 500
3704 C A1851 21 18 1000 500
3706 C A1852 22 19 1000 500
3708 C A1853 23 19 1000 500
3710 C A1854 24 19 1000 500
3712 C A1855 25 18 1000 500
3714 C A1856 26 19 1000 500
3716 C A1857 27 19 1000 500
3718 C A1858 28 19 1000 500
3720 C A1859 29 19 1000 500
3722 C A1860 30 19 1000 500
3724 C A1861 31 19 1000 500
3726 C A1862 32 18 1000 500
3728 C A1863 33 19 1000 500
3730 C A1864 34 18 1000 500
3732 C A1865 35 19 1000 500
3734 C A1866 36 18 1000 500
3736 C A1867 37 15 1000 500
3738 C A1868 38 18 1000 500
3740 C A1869 39 18 1000 500
3742 C A1870 40 19 1000 500
3744 C A1871 41 19 1000 500
3746 C A1872 42 18 1000 500
3748 C A1873 43 19 1000 500
3750 C A1874 44 19 1000 500
3752 C A1875 45 18 1000 500
3754 C A1876 46 18 1000 500
3756 C A1877 47 19 1000 500
3758 C A1878 48 18 1000 500
3760 C A1879 49 19 1000 500
3762 C A1880 50 18 1000 500
3764 C A1881 51 19 1000 500
3766 C A1882 52 18 1000 500
3768 C A1883 53 19 1000 500
3770 C A1884 54 19 1000 500
3772 C A1885 55 18 1000 500
3774 C A1886 56 17 1000 500
3776 C A1887 57 18 1000 500
3778 C A1888 58 19 1000 500
3780 C A1889 59 19 1000 500
3782 C A1890 60 19 1000 500
3784 C A1891 61 18 1000 500
3786 C A1892 62 19 1000 500
3788 C A1893 63 19 1000 500
3790 C A1894 64 18 1000 500
3792 C A1895 65 17 1000 500
3794 C A1896 66 17 1000 500
3796 C A1897 67 19 1000 500
3798 C A1898 68 19 1000 500
3800 C A1899 69 19 1000 500
3802 C A1900 70 18 1000 500
3804 C A1901 71 19 1000 500
3806 C A1902 72 19 1000 500
3808 C A1903 73 18 1000 500
3810 C A1904 74 19 1000 500
3812 C A1905 75 18 1000 500
3814 C A1906 76 19 1000 500
3816 C A1907 77 18 1000 500
3818 C A1908 78 19 1000 500
3820 C A1909 79 18 1000 500
3822 C A1910 80 18 1000 500
3824 C A1911 81 18 1000 500
3826 C A1912 82 18 1000 500
3828 C A1913 83 17 1000 500
3830 C A1914 84 19 1000 500
3832 C A1915 85 18 1000 500
3834 C A1916 86 19 1000 500
3836 C A1917 87 18 1000 500
3838 C A1918 88 18 1000 500
3840 C A1919 89 19 1000 500
3842 C A1920 90 19 1000 500
3844 C A1921 91 18 1000 500
3846 C A1922 92 18 1000 500
3848 C A1923 93 19 1000 500
3850 C A1924 94 18 1000 500
3852 C A1925 95 19 1000 500
3854 C A1926 96 13 1000 500
3856 C A1927 97 18 1000 500
3858 C A1928 98 18 1000 500
3860 C A1929 99 18 1000 500
3862 C A1930 0 17 1000 500
3864 C A1931 1 19 1000 500
3866 C A1932 2 20 1000 500
3868 C A1933 3 20 1000 500
3870 C A1934 4 20 1000 500
3872 C A1935 5 21 1000 500
3874 C A1936 6 21 1000 500
3876 C A1937 7 24 1000 500
3878 C A1938 8 23 1000 500
3880 C A1939 9 22 1000 500
3882 C A1940 10 21 1000 500
3884 C A1941 11 20 1000 500
3886 C A1942 12 21 1000 500
3888 C A1943 13 21 1000 500
3890 C A1944 14 21 1000 500
3892 C A1945 15 21 1000 500
3894 C A1946 16 21 1000 500
3896 C A1947 17 22 1000 500
3898 C A1948 18 19 1000 500
3900 C A1949 19 22 1000 500
3902 C A1950 20 21 1000 500
3904 C A1951 21 20 1000 500
3906 C A1952 22 20 1000 500
3908 C A1953 23 20 1000 500
3910 C A1954 24 20 1000 500
3912 C A1955 25 19 1000 500
3914 C A1956 26 20 1000 500
3916 C A1957 27 20 1000 500
3918 C A1958 28 20 1000 500
3920 C A1959 29 20 1000 500
3922 C A1960 30 20 1000 500
3924 C A1961 31 20 1000 500
3926 C A1962 32 19 1000 500
3928 C A1963 33 20 1000 500
3930 C A1964 34 19 1000 500
3932 C A1965 35 20 1000 500
3934 C A1966 36 19 1000 500
3936 C A1967 37 16 1000 500
3938 C A1968 38 19 1000 500
3940 C A1969 39 19 1000 500
3942 C A1970 40 20 1000 500
3944 C A1971 41 20 1000 500
3946 C A1972 42 19 1000 500
3948 C A1973 43 20 1000 500
3950 C A1974 44 20 1000 500
3952 C A1975 45 19 1000 500
3954 C A1976 46 19 1000 500
3956 C A1977 47 20 1000 500
3958 C A1978 48 19 1000 500
3960 C A1979 49 20 1000 500
3962 C A1980 50 19 1000 500
3964 C A1981 51 20 1000 500
3966 C A1982 52 19 1000 500
3968 C A1983 53 20 1000 500
3970 C A1984 54 20 1000 500
3972 C A1985 55 20 1000 500
3974 C A1986 56 18 1000 500
3976 C A1987 57 19 1000 500
3978 C A1988 58 20 1000 500
3980 C A1989 59 20 1000 500
3982 C A1990 60 20 1000 500
3984 C A1991 61 19 1000 500
3986 C A1992 62 20 1000 500
3988 C A1993 63 20 1000 500
3990 C A1994 64 19 1000 500
3992 C A1995 65 19 1000 500
3994 C A1996 66 18 1000 500
3996 C A1997 67 20 1000 500
3998 C A1998 68 20 1000 500
4000 C A1999 69 20 1000 500
4002 C A2000 70 19 1000 500
4004 C A2001 71 20 1000 500
4006 C A2002 72 20 1000 500
4008 C A2003 73 19 1000 500
4010 C A2004 74 20 1000 500
4012 C A2005 75 19 1000 500
4014 C A2006 76 20 1000 500
4016 C A2007 77 19 1000 500
4018 C A2008 78 20 1000 500
4020 C A2009 79 19 1000 500
4022 C A2010 80 19 1000 500
4024 C A2011 81 19 1000 500
4026 C A2012 82 19 1000 500
4028 C A2013 83 18 1000 500
4030 C A2014 84 20 1000 500
4032 C A2015 85 19 1000 500
4034 C A2016 86 20 1000 500
4036 C A2017 87 19 1000 500
4038 C A2018 88 19 1000 500
4040 C A2019 89 20 1000 500
4042 C A2020 90 20 1000 500
4044 C A2021 91 19 1000 500
4046 C A2022 92 19 1000 500
4048 C A2023 93 20 1000 500
4050 C A2024 94 19 1000 500
4052 C A2025 95 20 1000 500
4054 C A2026 96 14 1000 500
4056 C A2027 97 19 1000 500
4058 C A2028 98 19 1000 500
4060 C A2029 99 19 1000 500
